year,temp,sun,wind,cloud,rain,snow,high_temp,low_temp
1970/1/1,4.3,185.7,3.8,4.7,71,0,9.2,-0.1
1970/2/1,5.8,174.5,4.2,4.4,41.5,4,10.8,1.2
1970/3/1,5.4,181.4,4.6,6.1,58.5,1,10,1
1970/4/1,12.6,127.6,4.6,8.1,117.5,0,16.8,8.7
1970/5/1,18.8,197.5,3.8,7.8,183.5,0,23,14.9
1970/6/1,20.1,96.9,2.8,8.4,275.5,0,23.4,17.1
1970/7/1,24.3,137.7,3.5,7.6,243,0,27.9,21.4
1970/8/1,26.3,194,4.1,7.5,105.5,0,30.4,23
1970/9/1,23.3,103.9,3.6,8.3,122,0,26.9,20.3
1970/10/1,17.1,132.9,3.7,6.5,100,0,21.2,12.9
1970/11/1,12.3,156.8,4.3,5.5,104,0,16.8,7.8
1970/12/1,6.4,149.9,3.5,4.7,39.5,0,11.4,2
1971/1/1,5,170.4,4.6,5,45.5,2,9.9,1.1
1971/2/1,5.4,144.5,4.2,5.9,97.5,1,9.9,1.2
1971/3/1,8,215.6,4.4,5.1,107.5,0,13,3.2
1971/4/1,13.2,154,4.3,6.7,146,0,17.5,9
1971/5/1,17.4,188.2,3.7,6.9,85.5,0,21.7,13.8
1971/6/1,21,94.3,3,8.6,96,0,24.6,18.3
1971/7/1,25.5,165.2,3.8,7.8,58,0,29.3,22.6
1971/8/1,26.7,211.8,4,6,196.5,0,30.8,23.7
1971/9/1,21.3,88.7,4,8.6,273.5,0,24.5,18.5
1971/10/1,15.6,111.1,3.7,7.1,276,0,19.2,12.3
1971/11/1,11.9,154.5,3.4,4.6,22,0,16.2,7.4
1971/12/1,8.2,165.9,3.9,5,63,0,12.5,3.6
1972/1/1,7.1,142.3,4.5,4.7,121,0,11.5,2.8
1972/2/1,5.4,96.1,4.9,7,153,11,9,2.2
1972/3/1,9.5,194.9,4.9,5.7,42.5,0,13.9,5.1
1972/4/1,13.4,178.1,4.5,6.4,171.5,0,17.3,9.3
1972/5/1,18.5,191.2,4.5,6.6,125.5,0,22.5,14.7
1972/6/1,21.3,139.1,3.9,8.3,122.5,0,24.9,18.1
1972/7/1,25.2,189.2,4.5,8.1,271,0,28.7,22.8
1972/8/1,26.3,255.6,4.4,5.1,95,0,30.4,23.3
1972/9/1,23.1,183,3.6,6.5,249,0,27.3,19.8
1972/10/1,18.4,151.6,3.9,6.5,53,0,22.5,14.7
1972/11/1,12.3,160.5,3.7,5.6,65.5,0,16.8,8.1
1972/12/1,8.3,160.9,3.7,4.4,146.5,0,12.6,4.1
1973/1/1,6.4,173.3,4.1,4.8,146,0,10.7,2.7
1973/2/1,6.8,149.6,3.7,5,71,0,11.6,2.5
1973/3/1,7.9,185.9,4.9,5.7,15.5,0,12.2,3.9
1973/4/1,15.1,137.2,3.7,8,150,0,19.6,11.1
1973/5/1,17.6,201.9,3.8,7,147.5,0,21.8,13.7
1973/6/1,19.7,103.3,3.6,9.2,219.5,0,22.8,17.4
1973/7/1,25.3,218.6,3.2,6,74,0,29.1,22.5
1973/8/1,27.6,235.7,4.4,6.1,43.5,0,31.4,25.2
1973/9/1,22.7,139.5,3.8,7.1,142,0,26.2,19.8
1973/10/1,16.9,145.6,3.6,6.7,238,0,20.8,13.4
1973/11/1,12,190,4.4,3.9,180.5,0,16.2,7.4
1973/12/1,6.5,225,4.1,2.1,0,0,11,1.5
1974/1/1,4.1,211.7,4.5,3.1,20.5,2,8.5,0.3
1974/2/1,4.8,130,4.3,6.7,86.5,5,9,1.2
1974/3/1,7,170.7,4.3,6.3,127.5,1,11.1,3.4
1974/4/1,14.4,172.9,4.8,6.7,178.5,0,18.6,10.5
1974/5/1,18.8,218.2,4.2,6.8,89,0,23.1,15
1974/6/1,21.5,127.1,3.5,8.7,224,0,24.9,18.6
1974/7/1,22.8,113.1,3.4,8.5,288.5,0,26.1,20.3
1974/8/1,26.4,200.9,3.7,7.4,119,0,30.2,23.8
1974/9/1,22.2,132.9,3.9,7.9,262,0,25.1,19.7
1974/10/1,17.3,96.2,3.4,7.9,172.5,0,20.3,14.5
1974/11/1,11.3,150.2,3.7,5.5,26,0,15,7.8
1974/12/1,6.3,137,3.6,6,37,0,10,3
1975/1/1,4.5,183.7,3.6,4.2,73,0,8.4,0.6
1975/2/1,4.7,164.4,3.8,5.7,78.5,16,8.9,0.9
1975/3/1,7.6,184.5,3.7,6.2,108,0,11.9,3.7
1975/4/1,13.7,158.1,3.6,7.6,175.5,0,17.8,10.2
1975/5/1,18.1,204.1,3.4,8.3,155,0,22.1,14.6
1975/6/1,21.1,109.1,2.8,9.4,137,0,24.4,18.5
1975/7/1,24.9,206.5,3.5,6.4,185,0,28.6,22.3
1975/8/1,26.4,258.9,3.8,5.7,28.5,0,30.5,23.4
1975/9/1,24.7,220,3.5,5.2,165.5,0,28.8,21.4
1975/10/1,17,103.5,3.7,7.7,366,0,20.1,14.2
1975/11/1,12.4,112,4.1,6.8,265.5,0,15.7,9.4
1975/12/1,6.6,179.2,3.2,4.7,74.5,0,10.7,2.9
1976/1/1,5.2,226,3.8,2.6,0,0,10,0.7
1976/2/1,6.6,139.3,3.9,6.4,162,1,10.7,2.9
1976/3/1,8.9,149.1,3.7,7.3,127.5,0,12.5,5.2
1976/4/1,12.8,117.4,3.6,8.2,108,0,16.5,9.2
1976/5/1,17.4,179.3,3.3,7.3,224.5,0,21.8,13.8
1976/6/1,21,102,3.6,9.2,160,0,24.5,18.5
1976/7/1,23.3,198.5,3.4,6.8,213,0,26.7,20.6
1976/8/1,24.9,165.1,3.2,7.9,143.5,0,28.4,22
1976/9/1,21.7,153.6,3.5,7.1,216.5,0,25.1,18.7
1976/10/1,17,147.7,3.4,6.6,175.5,0,20.5,13.6
1976/11/1,11.2,140.1,3.7,6,86,0,14.8,7.4
1976/12/1,7.1,191.4,3.3,4,39,0,11.3,3
1977/1/1,3.4,166.4,3.4,5.1,34,1,7.1,0.1
1977/2/1,4.8,189.7,3.6,4.7,21,5,9.6,0.4
1977/3/1,9,150.5,3.7,6.6,210.5,0,12.9,5.3
1977/4/1,14.7,197.6,4.2,6.4,138,0,18.8,10.9
1977/5/1,18,233.9,3.6,6.2,81.5,0,22.2,14
1977/6/1,20.3,99.4,3.1,9.1,325,0,23.2,18
1977/7/1,25.2,233,2.9,7.3,49.5,0,29.1,22.2
1977/8/1,24.4,113.3,3.3,8.2,276,0,27.7,21.8
1977/9/1,23.7,153.3,3.4,7.5,256.5,0,27.3,20.9
1977/10/1,18.1,172.5,3.1,5.6,70.5,0,21.9,14.7
1977/11/1,14.6,154.8,3.3,5.9,139.5,0,18.2,11.3
1977/12/1,8.8,185.7,2.5,4.2,45.5,0,13.2,4.9
1978/1/1,5.6,171.7,2.8,4.2,33,21,10.1,1.7
1978/2/1,4,155.7,2.7,4.9,21,2,8.3,0.2
1978/3/1,8.2,211.7,3,5.2,153,0,12.7,4.2
1978/4/1,13.4,172.1,3.6,6.1,167.5,0,17.4,9.7
1978/5/1,18.3,197.3,3.1,7.6,138,0,22.4,15.2
1978/6/1,22.9,217.5,4.2,7.3,128.5,0,26.6,20
1978/7/1,26.9,292.2,3,4.7,84,0,30.9,24.1
1978/8/1,27.8,290.4,3.9,4,49,0,32.1,24.8
1978/9/1,21.6,104.5,3.3,8.1,135,0,24.9,18.8
1978/10/1,16.9,150.6,3.4,6.3,158,0,21,13.2
1978/11/1,12.3,174.1,2.8,4.6,59,0,16.3,8.7
1978/12/1,8.2,163.9,2.8,4.2,28,0,12.5,4
1979/1/1,6.1,182.6,2.7,3.9,44.5,2,10.5,2
1979/2/1,8,165.4,3.2,5.2,114,0,12.2,4.3
1979/3/1,9.4,195.9,3.5,5.8,84,0,13.7,5.1
1979/4/1,13.4,167.8,3.9,7.4,164,0,17.3,10.1
1979/5/1,17.9,251.6,3.1,6.9,148.5,0,22,14.3
1979/6/1,23.3,220.5,4.1,7.1,96,0,26.9,20.3
1979/7/1,24.2,170.5,3,7.7,123,0,27.9,21.6
1979/8/1,26.6,202.5,3.5,7.4,75,0,30.5,24
1979/9/1,23.5,150.5,3.1,8.1,121,0,27,20.6
1979/10/1,18.9,160.1,3.2,6.6,306.5,0,22.5,15.7
1979/11/1,13.9,112.7,3.3,8,194,0,17.2,10.8
1979/12/1,9.7,190,2.8,4.5,51.5,0,13.8,5.8
1980/1/1,5.5,185.8,3.5,4.6,114,1,10,1.4
1980/2/1,4.8,202.4,3.3,4.9,35,9,8.9,0.9
1980/3/1,7.9,139.6,3.5,7,221,1,11.8,4.5
1980/4/1,13.2,150.9,4,7.7,127.5,0,17.2,9.5
1980/5/1,18.4,207.9,3.6,6.7,171.5,0,22.9,14.5
1980/6/1,22.8,149.1,3,8.4,156,0,26.4,20.1
1980/7/1,23.5,115.6,2.7,8.8,170,0,26.9,20.9
1980/8/1,23,124.4,2.5,8.2,223,0,26.3,20.6
1980/9/1,22.5,134,3.6,7.5,228.5,0,25.8,20
1980/10/1,18.1,175,3.4,6.2,170,0,21.8,14.7
1980/11/1,12.8,153,2.9,5.7,162,0,16.7,8.7
1980/12/1,7.6,214.1,3,2.9,44.5,0,11.9,3.4
1981/1/1,4.4,218,2.2,2.9,4,0,8.7,0.5
1981/2/1,5.3,155.5,2.3,5.6,46.5,5,9.3,1.6
1981/3/1,9,178.3,2.8,6.4,145.5,0,13,5.1
1981/4/1,14,203.3,3.1,6,233.5,0,18.3,9.8
1981/5/1,17.5,182.3,2.9,7.5,139,0,21.9,13.7
1981/6/1,20.1,91.7,2.4,8.9,106,0,23.2,17.3
1981/7/1,25.6,215.8,3,7.7,184.5,0,29.6,23
1981/8/1,25.8,205.9,3.3,6.8,106,0,29.6,23.1
1981/9/1,21.5,155.8,3.2,7.9,191.5,0,24.9,18.6
1981/10/1,17.5,177.1,3.5,6.3,308.5,0,21.2,14
1981/11/1,10.8,126.8,3.2,6.8,110.5,0,14.3,7.5
1981/12/1,7.8,210.4,3.2,3.6,11,0,12.3,3.7
1982/1/1,6,196.8,3.3,4.8,48.5,0,10.2,2.4
1982/2/1,5.6,160.9,3.3,5.9,71.5,1,9.5,2.2
1982/3/1,9.5,187.2,3.7,6,85.5,0,13.7,5.5
1982/4/1,13.1,181.9,3.6,6.3,165.5,0,17.4,9.2
1982/5/1,19.6,260.9,3.8,5.5,101.5,0,24,15.9
1982/6/1,20.6,177.3,3.1,7.8,164.5,0,24.4,17.5
1982/7/1,22,135.8,2.5,8.2,179.5,0,25.4,19.5
1982/8/1,26,231.1,3.5,6.7,193,0,29.6,23.4
1982/9/1,21.4,123.2,3.5,7.8,481.5,0,24.8,18.8
1982/10/1,17,193.5,3.4,5.6,169.5,0,20.6,13.6
1982/11/1,13.8,132.9,3.1,6.9,103,0,16.9,10.6
1982/12/1,8.7,169.9,3.1,5,35,0,12.5,4.8
1983/1/1,5.8,210.7,3.2,4.4,51,0,10.1,1.9
1983/2/1,5.4,205.1,3.9,4.6,72.5,6,9.9,1.6
1983/3/1,7.9,168.8,3.8,6.3,153,0,11.8,4.4
1983/4/1,15,172.4,3.5,7.1,145.5,0,19.5,11.5
1983/5/1,18.7,253.3,3.5,7.1,134.5,0,23.2,15.1
1983/6/1,19.6,176,3.1,7.9,221,0,23.3,16.4
1983/7/1,23,132.1,3.1,8.5,165.5,0,26.4,20.6
1983/8/1,26.4,184.6,3,6.8,291,0,29.9,23.6
1983/9/1,22.2,111.7,2.7,8.3,326,0,25.3,20
1983/10/1,16.7,147.6,3.1,7.4,150,0,20.4,13.5
1983/11/1,11.4,186.3,3.5,4,51.5,0,15.4,7.6
1983/12/1,6.5,216.6,3.4,3.2,6,0,10.6,2.7
1984/1/1,3,199.5,3.4,4.5,52.5,53,6.9,-0.5
1984/2/1,2.5,182.8,3.6,6.3,67,41,6.1,-0.6
1984/3/1,5.3,215.6,3.7,6.1,84.5,15,9.8,1.3
