year,avg_temp,avg_temp1,avg_temp2,sun,sun1,sun2,sun3,avg_wind,avg_wind1,avg_wind2,avg_cloud_quantity,avg_cloud_quantity1,avg_cloud_quantity2,rain_sum,rain_sum1,rain_sum2,rain_sum3,Year
2001/1/1,4.6,8,1,173.9,0,8,1,4.1,8,1,5,8,1,146.5,0,8,1,
2001/2/1,6.2,8,1,146.9,0,8,1,3.6,8,1,6.1,8,1,38.5,0,8,1,
2001/3/1,9.4,8,1,181.3,0,8,1,4.1,8,1,5.9,8,1,133.5,0,8,1,
2001/4/1,15,8,1,226.6,0,8,1,3.9,8,1,5.6,8,1,64,0,8,1,
2001/5/1,18.7,8,1,170,0,8,1,3.5,8,1,7.6,8,1,194.5,0,8,1,
2001/6/1,22.2,8,1,114.5,0,8,1,3,8,1,8.8,8,1,141,0,8,1,
2001/7/1,27.4,8,1,275.5,0,8,1,3.9,8,1,5.9,8,1,46.5,0,8,1,
2001/8/1,25.8,8,1,132.8,0,8,1,2.8,8,1,8.4,8,1,162.5,0,8,1,
2001/9/1,22.6,8,1,119,0,8,1,3.2,8,1,7.6,8,1,215.5,0,8,1,
2001/10/1,18.1,8,1,149.4,0,8,1,3.3,8,1,6.4,8,1,306.5,0,8,1,
2001/11/1,12.4,8,1,172,0,8,1,3,8,1,4.9,8,1,139.5,0,8,1,
2001/12/1,8,8,1,201.7,0,8,1,3.4,8,1,4.6,8,1,42,0,8,1,
2002/1/1,7.2,8,1,199.5,0,8,1,3.9,8,1,4.3,8,1,104.5,0,8,1,
2002/2/1,7.4,8,1,170.8,0,8,1,3.4,8,1,5.5,8,1,33.5,0,8,1,
2002/3/1,11.8,8,1,204,0,8,1,4.1,8,1,5.9,8,1,101,0,8,1,
2002/4/1,15.6,8,1,165.3,0,8,1,4.2,8,1,7.3,8,1,66.5,0,8,1,
2002/5/1,17.7,8,1,154,0,8,1,3.4,8,1,8.1,8,1,141,0,8,1,
2002/6/1,20.7,8,1,129.1,0,8,1,3.2,8,1,8.3,8,1,242,0,8,1,
2002/7/1,26.9,8,1,197.9,0,8,1,4.2,8,1,7.6,8,1,185,0,8,1,
2002/8/1,27.3,8,1,259.4,0,8,1,4,8,1,6.2,8,1,154.5,0,8,1,
2002/9/1,22.5,8,1,130.7,0,8,1,3.2,8,1,7.4,8,1,283,0,8,1,
2002/10/1,18.4,8,1,186.1,0,8,1,3.4,8,1,5.4,8,1,207.5,0,8,1,
2002/11/1,11.2,8,1,143,0,8,1,3.6,8,1,6,8,1,28,0,8,1,
2002/12/1,7,8,1,134.1,0,8,1,3.4,8,1,6.2,8,1,91.5,0,8,1,
2003/1/1,5.2,8,1,212.7,0,8,1,3.8,8,1,4.3,8,1,119,0,8,1,
2003/2/1,6.1,8,1,148.8,0,8,1,3.7,8,1,6.4,8,1,56.5,0,8,1,
2003/3/1,8.3,8,1,191.6,0,8,1,4.3,8,1,6.3,8,1,246,0,8,1,
2003/4/1,14.7,8,1,159.8,0,8,1,4.4,8,1,7.8,8,1,146,0,8,1,
2003/5/1,18.3,8,1,149.4,0,8,1,3.3,8,1,7.9,8,1,179.5,0,8,1,
2003/6/1,22.5,8,1,113.5,0,8,1,3.3,5,1,8.4,8,1,78,0,8,1,
2003/7/1,22.4,8,1,52.4,0,8,1,2.9,8,1,9.6,8,1,242.5,0,8,1,
