year,avg_temp,sun,avg_wind,avg_cloud_quantity,rain_sum
2000/1/1,7.3,144,3.5,6.3,76.5
2000/2/1,5.6,198.9,3.7,4.4,3
2000/3/1,9,202.7,4.2,4.9,114
2000/4/1,14,173.7,3.9,6.6,117.5
2000/5/1,19.1,197.1,3.5,7,74.5
2000/6/1,21.4,132.6,3.5,8.5,267
2000/7/1,26.4,228.2,3.8,6.5,223.5
2000/8/1,27.2,228.3,3.1,6.7,95.5
2000/9/1,24.4,131.4,3.2,7.4,309.5
2000/10/1,18.1,92.6,3,8.2,141
2000/11/1,12.8,110,3.5,7.2,127
2000/12/1,8.5,184.8,3.5,4.6,8.5
2001/1/1,4.6,173.9,4.1,5,146.5
2001/2/1,6.2,146.9,3.6,6.1,38.5
2001/3/1,9.4,181.3,4.1,5.9,133.5
2001/4/1,15,226.6,3.9,5.6,64
2001/5/1,18.7,170,3.5,7.6,194.5
2001/6/1,22.2,114.5,3,8.8,141
2001/7/1,27.4,275.5,3.9,5.9,46.5
2001/8/1,25.8,132.8,2.8,8.4,162.5
2001/9/1,22.6,119,3.2,7.6,215.5
2001/10/1,18.1,149.4,3.3,6.4,306.5
2001/11/1,12.4,172,3,4.9,139.5
2001/12/1,8,201.7,3.4,4.6,42
2002/1/1,7.2,199.5,3.9,4.3,104.5
2002/2/1,7.4,170.8,3.4,5.5,33.5
2002/3/1,11.8,204,4.1,5.9,101
2002/4/1,15.6,165.3,4.2,7.3,66.5
2002/5/1,17.7,154,3.4,8.1,141
2002/6/1,20.7,129.1,3.2,8.3,242
2002/7/1,26.9,197.9,4.2,7.6,185
2002/8/1,27.3,259.4,4,6.2,154.5
2002/9/1,22.5,130.7,3.2,7.4,283
2002/10/1,18.4,186.1,3.4,5.4,207.5
2002/11/1,11.2,143,3.6,6,28
2002/12/1,7,134.1,3.4,6.2,91.5
2003/1/1,5.2,212.7,3.8,4.3,119
2003/2/1,6.1,148.8,3.7,6.4,56.5
2003/3/1,8.3,191.6,4.3,6.3,246
2003/4/1,14.7,159.8,4.4,7.8,146
2003/5/1,18.3,149.4,3.3,7.9,179.5
2003/6/1,22.5,113.5,3.3,8.4,78
2003/7/1,22.4,52.4,2.9,9.6,242.5
2003/8/1,25.3,158.2,3.6,7.6,420
2003/9/1,23.7,183.8,3.5,6.8,139.5
2003/10/1,17.3,150,3.4,7.2,163.5
2003/11/1,14.1,84.9,3.5,7.7,277.5
2003/12/1,9.1,189.2,3.5,4.2,64.5
2004/1/1,6,209.1,3.7,4.5,9.5
2004/2/1,8.3,227.5,3.8,4,25.5
2004/3/1,9.5,171,4.1,6.8,162.5
2004/4/1,15.9,232.6,4.3,5.5,96.5
2004/5/1,19.1,146.1,3.6,8.1,155
2004/6/1,23,183.1,3.9,7.4,185
2004/7/1,27.5,262.7,3.6,6.2,57.5
2004/8/1,26.4,186.9,4,7.8,91.5
2004/9/1,24.6,157.2,3.8,7.2,176.5
2004/10/1,17.2,122.1,3.4,7,761.5
2004/11/1,15.1,169.5,2.9,5.2,123.5
2004/12/1,9.8,180.1,3.8,5.5,87.5
2005/1/1,6.1,197.2,4,4.6,44.5
2005/2/1,6,141.7,3.9,6.3,55.5
2005/3/1,9,168.2,3.7,6.4,96.5
2005/4/1,14.7,207.3,3.9,5.5,103.5
2005/5/1,17.3,189.7,3.5,6.9,121
2005/6/1,22.3,127.2,2.9,8.7,179.5
2005/7/1,24.9,109.1,2.7,8.9,197
2005/8/1,27.2,188.8,3.3,7.5,238.5
2005/9/1,24.1,170.1,3.3,6.8,153
2005/10/1,18.8,119.5,3.1,7.1,167.5
2005/11/1,12.8,196.6,2.8,4.9,50
2005/12/1,6.3,229.7,3.4,3,4.5
2006/1/1,4.8,157.4,3.5,5,78
2006/2/1,6.5,129.5,3.7,6.3,129.5
2006/3/1,9.6,171.1,4.1,6,100.5
2006/4/1,13.3,150.2,3.4,7,145.5
2006/5/1,18.3,136.8,4,8,154
2006/6/1,21.9,83.9,2.7,9.1,128
2006/7/1,24.8,74.6,2.7,9.2,163
2006/8/1,26.7,193.9,2.6,6.9,184.5
2006/9/1,23.1,123.3,3.4,7.4,174
