year,snow,daily_high_temp,daily_low_temp
2000/1/1,0,10.9,4
2000/2/1,0,9.9,1.7
2000/3/1,0,13.7,4.8
2000/4/1,0,18.5,10.1
2000/5/1,0,23.7,15.9
2000/6/1,0,25.2,18.7
2000/7/1,0,30.4,23.5
2000/8/1,0,31.3,24.4
2000/9/1,0,27.9,21.7
2000/10/1,0,21.2,15.5
2000/11/1,0,16.2,10
2000/12/1,0,12.3,4.9
2001/1/1,30,8.5,1.3
2001/2/1,0,10.3,2.5
2001/3/1,0,14.1,5.4
2001/4/1,0,20,10.8
2001/5/1,0,22.4,15.8
2001/6/1,0,25.8,19.5
2001/7/1,0,32,24.2
2001/8/1,0,29.4,23.4
2001/9/1,0,25.8,19.9
2001/10/1,0,22.1,15
2001/11/1,0,16.5,8.8
2001/12/1,0,12,4.8
2002/1/1,0,11.5,3.2
2002/2/1,0,11.5,3.7
2002/3/1,0,16.4,7.7
2002/4/1,0,19.9,12.1
2002/5/1,0,21.8,14.7
2002/6/1,0,24.4,17.8
2002/7/1,0,30.8,24.2
2002/8/1,0,31.4,24.5
2002/9/1,0,25.9,19.7
2002/10/1,0,22.2,15.2
2002/11/1,0,15,7.8
2002/12/1,3,10.5,4.1
2003/1/1,0,9.3,1.6
2003/2/1,0,9.6,3
2003/3/1,0,12.5,4.8
2003/4/1,0,18.8,11
2003/5/1,0,22.2,15.1
2003/6/1,0,26.1,19.8
2003/7/1,0,25.9,19.9
2003/8/1,0,28.9,22.6
2003/9/1,0,27.6,20.8
2003/10/1,0,21.1,14.2
2003/11/1,0,17.1,11.4
2003/12/1,0,13.3,5.5
2004/1/1,0,9.9,2.7
2004/2/1,0,12.9,4.1
2004/3/1,0,14,5.5
2004/4/1,0,20.9,11.4
2004/5/1,0,23.3,15.7
2004/6/1,0,26.7,19.6
2004/7/1,0,32,24.2
2004/8/1,0,30.4,23.5
2004/9/1,0,28.2,21.9
2004/10/1,0,20.5,14.4
2004/11/1,0,18.6,12.1
2004/12/1,1,13.4,6.6
2005/1/1,0,10.5,2.5
2005/2/1,0,9.8,2.4
2005/3/1,2,13.3,5.2
2005/4/1,0,19.5,10.4
2005/5/1,0,22,13.8
2005/6/1,0,26,19.6
2005/7/1,0,28.5,22.2
2005/8/1,0,31.1,24.5
2005/9/1,0,27.8,21.4
2005/10/1,0,22,16.1
2005/11/1,0,16.7,9.3
2005/12/1,0,10.2,2.8
2006/1/1,11,8.4,1.9
2006/2/1,0,10.6,3
2006/3/1,0,14,5.7
2006/4/1,0,17.2,9.7
2006/5/1,0,22,15.3
2006/6/1,0,25.2,19.4
2006/7/1,0,28.1,22.7
2006/8/1,0,30.8,23.8
2006/9/1,0,26.5,20.3
2006/10/1,0,22.8,16.5
2006/11/1,0,17.6,10.6
2006/12/1,0,12.7,6.5
2007/1/1,0,11,4.3
2007/2/1,0,12.9,4.6
2007/3/1,0,15.1,6.6
2007/4/1,0,18,9.8
2007/5/1,0,23.6,15.4
2007/6/1,0,26.5,19.2
2007/7/1,0,27,21.4
2007/8/1,0,32.1,25.1
2007/9/1,0,28,22.1
2007/10/1,0,22.1,15.9
2007/11/1,0,16.6,10.1
2007/12/1,0,12.7,5.5
2008/1/1,0,9.7,2.9
2008/2/1,7,9.7,1.7
2008/3/1,0,14.7,6.9
2008/4/1,0,18.4,11
2008/5/1,0,21.9,15.2
2008/6/1,0,24.3,18
2008/7/1,0,30.6,23.6
2008/8/1,0,30.5,23.8
2008/9/1,0,27.2,21.4
2008/10/1,0,22.5,16.2
2008/11/1,0,16.3,9.8
2008/12/1,0,13.7,5.8
2009/1/1,0,10.5,3.6
2009/2/1,0,11.7,4.4
2009/3/1,0,13.7,6.1
2009/4/1,0,20,11.5
2009/5/1,0,23.3,16.4
2009/6/1,0,25.3,19.3
2009/7/1,0,28.4,22.9
2009/8/1,0,29.9,23.6
2009/9/1,0,26,20.1
2009/10/1,0,21.9,15.6
2009/11/1,0,16.6,10
2009/12/1,0,12.4,6.3
2010/1/1,0,11.2,3.2
2010/2/1,1,10.1,3.3
2010/3/1,0,13.4,5.1
2010/4/1,0,16.6,8.6
2010/5/1,0,22.6,15.1
2010/6/1,0,26.8,19.8
2010/7/1,0,31,24.4
2010/8/1,0,32.7,26.1
2010/9/1,0,28.7,21.8
2010/10/1,0,21.7,16.4
2010/11/1,0,17.1,9.9
2010/12/1,0,14,6.2
2011/1/1,0,9.4,1.9
2011/2/1,4,11.4,3.3
2011/3/1,0,12.8,4.1
2011/4/1,0,19.2,10.4
2011/5/1,0,22,15.1
2011/6/1,0,26.1,19.5
2011/7/1,0,30.7,23.9
2011/8/1,0,31.4,24.4
2011/9/1,0,28.7,22
2011/10/1,0,22.7,16.3
2011/11/1,0,18.1,11.7
2011/12/1,0,11.2,4.2
2012/1/1,0,8.6,1.7
2012/2/1,5,9.2,2.2
2012/3/1,0,12.4,5.1
2012/4/1,0,18.3,10.6
2012/5/1,0,23.3,15.5
2012/6/1,0,24.4,18.2
2012/7/1,0,29.4,22.8
2012/8/1,0,32.4,25.4
2012/9/1,0,29.3,22.5
2012/10/1,0,22.8,15.9
2012/11/1,0,16.1,9.2
2012/12/1,0,11,3.8
2013/1/1,13,9.6,1.8
2013/2/1,0,10,2.4
2013/3/1,0,16.6,8.1
2013/4/1,0,19,10.6
2013/5/1,0,23.5,15.5
2013/6/1,0,25.7,19.4
2013/7/1,0,30.4,23.5
2013/8/1,0,32.7,25.3
2013/9/1,0,28.4,21.3
2013/10/1,0,22.6,16.8
2013/11/1,0,17.1,9.6
2013/12/1,0,12,4.7
2014/1/1,0,10.5,2.5
2014/2/1,44,9.9,2.7
2014/3/1,0,14.5,6.4
2014/4/1,0,19,10.5
2014/5/1,0,24.3,15.8
2014/6/1,0,26.4,19.8
2014/7/1,0,30.1,23.1
2014/8/1,0,30.5,24.1
2014/9/1,0,26.7,19.9
2014/10/1,0,22.7,15.6
2014/11/1,0,17.2,11
2014/12/1,0,11.4,4
2015/1/1,0,10.4,2.7
2015/2/1,0,10.5,3.3
2015/3/1,0,15,6.9
2015/4/1,0,18.8,11.1
2015/5/1,0,25.4,17.3
2015/6/1,0,25.8,19.1
2015/7/1,0,29.7,23.4
2015/8/1,0,30.2,24.4
2015/9/1,0,26.2,20.5
2015/10/1,0,22.6,15.9
2015/11/1,0,17.9,11.9
2015/12/1,0,13.7,7.1
2016/1/1,5,10.8,3.4
2016/2/1,0,12,4.2
2016/3/1,0,14.5,7
2016/4/1,0,20,12.2
2016/5/1,0,24.6,16.6
2016/6/1,0,26,19.6
2016/7/1,0,29.3,22.7
2016/8/1,0,31.3,24.5
2016/9/1,0,27.6,22.5
2016/10/1,0,22.6,16.4
2016/11/1,0,15.8,8.9
2016/12/1,0,14.4,5.9
